question_id,question_text,option_a,option_b,option_c,option_d,option_e,correct_answer_id
1,Reklam Haqqında Qanun nə vaxt qəbul edilib?,2014,2011,2015,2012,2013,c
2,Cavablardan hansı Reklamı izah edir,İstənilən ölkədə cəlb etmək məqsədi ilə yayımlanan məlumatdır,Yazılı formada cəlb etmək məqsədi ilə yayımlanan məlumatdır,Şəkil formada cəlb etmək məqsədi ilə yayımlanan məlumatdır,Hər küçədə cəlb etmək məqsədi ilə yayımlanan məlumatdır,İstənilən formada əmtəəni bazarda tanıtmaq məqsədi ilə yayımlanan məlumatdır,e
3,Aşağıdakılardan hansı reklamın subyekti hesab edilir?,Binalar,Divarlar,Vətəndaşlar,Reklam istehlakçısı,Fiziki şəxslər,d
4,Sosial reklam dövlət yayımçılar tərəfindən ...?,Yayımlanır,Ödənişli və ödənişsiz formada yayımlanır,Ödənişli yayımlanır,Ödənişsiz yayımlanır,Yayımlanmır,d
5,Reklam haqqında Qanun nə zamann qəbul edilmişdir?,2014,2013,2015,2012,2011,c
6,"Reklam haqqında Qanun reklamın sifarişi, istehsalına və yayımlanması sahəsində münasibətlərin, onlara nəzarətin və tənzimləmənin, həmçinin reklam sahəsində özünütənzimləmənin _________",Sosial əsaslarını müəyyən edir,İqtisadi əsaslarını müəyyən edir,Mədəni əsaslarını müəyyən edir,Hüquqi əsaslarını müəyyən edir,Siyasi əsaslarını müəyyən edir,d
7,Reklam haqqında Qanun reklamın sifarişi sahəsində münasibətlərin ...?,Mədəni əsaslarını müəyyən edir,Siyasi əsaslarını müəyyən edir,Sosial əsaslarını müəyyən edir,İqtisadi əsaslarını müəyyən edir,Hüquqi əsaslarını müəyyən edir,e
8,Versal sülh sisteminin dünyada yaratdığı ən böyük ziddiyyət hansıdır?,İqtisadi böhran,İqtisadi əlaqələrin zəifləməsi,Hərbi sənaye sahəsinin öz qüdrətini itirməsi,İdeoloji və sinfi qarşıdurma,Milli münaqişələr,d
9,Ağ PR nə vaxt istifadə olunur?,Böhran vəziyyətlərində,Heç biri,Yalnız yeni zamanda,Təşkilatın müsbət obrazını genişləndirmək üçün,Qeyri-rəsmi məlumat yaymaq üçün,d
10,PR növlərinin məqsədi nədir?,Mətbuatdan uzaq qalmaq,İşçiləri fəaliyyətlərdən uzaqlaşdırmaq,Rəqibləri gözdən salmaq,Şirkət və ya məhsul haqqında məlumat yaymaq,İnsanları çaşdırmaq,d
11,PR-in hansı növü ödənişsizdir?,Sarı PR,Yaşıl PR,Virus PR-ı,Qara PR,Pablisiti,e
12,Çəhrayı PR nə üçün istifadə olunur?,İctimaiyyət arasında pozitiv emosiyalar yaratmaq,Təbii resurslardan istifadəni məhdudlaşdırmaq,Qeyri-müsbət xəbərləri gizlətmək,Rəqiblərə üstünlük vermək,Yalnız media ilə əlaqə qurmaq,a
13,Yaşıl PR hansı sahədə tətbiq edilir?,Rəqabəti gücləndirmək üçün,Texniki avadanlıq təqdimatı zamanı,Gizli məlumat yayma üçün,Ətraf mühitin qorunması ilə bağlı kampaniyalarda,Şirkət imicini artırmaq üçün,d
14,Sarı PR nəyi əhatə edir?,Mətbuat vasitəsilə qadağan olunmuş elementləri yaymağı,Rəqibləri dəstəkləməyi,Etibarlı xəbərləri yaymağı,Şirkət fəaliyyətini təşviq etməyi,Sosial şəbəkələrdə müsbət rəylər yazmağı,a
15,Boz PR-ın xüsusiyyəti nədir?,Şirkət daxili tədbirləri əhatə edir,Şəffaf və doğruluqla həyata keçirilir,Yalnız müsbət imic yaratmaq məqsədi daşıyır,Naməlum mənbələrdən yayılan informasiya,Ətraf mühitə diqqət ayırır,d
16,Virus PR-ı necə xarakterizə edilir?,Təşkilatın planlı strategiyasıdır,Təhsil layihələrinin təşviqi,Ekoloji layihələr üzərində iş,Şaiyə və qeybətlərin yayılması ilə PR əldə etmək,Media vasitəsilə ödənişli reklam,d
17,Ağ PR nəyi nəzərdə tutur?,Münaqişələr yaratmağı,İnsanları yanlış istiqamətləndirməyi,Gizli məlumat yaymağı,Müsbət və şəffaf məlumat yaymağı,Mətbuatla əlaqələri məhdudlaşdırmağı,d
18,Qara PR nədir?,Müsbət imic formalaşdıran PR növüdür,Heç biri,Rəhbərliyi dəstəkləyən PR fəaliyyətidir,Yalan məlumatların yayılmasıdır,Təhsil layihələrinə əsaslanan PR növüdür,d
19,BMT-nin nizamnaməsi təşkilatın yaranmasının 4 əsas məqsədini müəyyən edir. Hansı varint yanlışdır?,Dövlətlərin fəaliyyətinin və ümumi maraqlarının razılaşdırılmasını təmin etmək,Millətlər və dövlətlər arasında dostluq yaratmaq,"İrqindən, cinsindən, dilindən, dinindən asılı olmayaraq insan hüquqları və əsas azadlıqlarınına hörmətlə yanaşaraq beynəlxalq emekdaşlığı təmin etmək",Beynəlxalq sülhün və təhlükəsizliyi təmin etmək,İctimai əlaqələri daha da gücləndimək,e
20,Potensial sərmayəçi informasiyanı aldığı İxtisaslaşdırdmış nəşrlərə aid deyildir?,İllik hesabatlar,Digər rəsmi informasiyalar,Rəhbərliyin mətbuat üçün açıqlamaları,Qatarların və təyyarələrin hərəkət cədvə,Kvartal üzrə maliyyə hesabatları,d
21,Potensial sərmayəçidən ötrü sərmayə memorandumunun işlənilib hazırlanması əhatə edir:?,Sahənin bütövlükdə təsviri,Qarşıya qoyulan məqsədlərə çatmaq üçün atılan taktiki addımlar,Şirkətin strategiyası,Şirkətin idarə olunması barədə məlumat,Bütün variantlar uyğundur,e
22,Yeni dünya nizamının ən mübahisəli məsələsi nədən ibarətdir?,"İctimai Əlaqələr sisteminin əsası kimi,getdikcə beynəlxalq birliklər,təşkilatlar tərəfindən sosial siyasi təmayüllərin liberallaşdırılması məsələsi","İctimai Əlaqələr sistemində qərb dəyərlərinin bütün dünyaya yayılması ,millətlər və mədəniyyətlər arasında milli sədlərin silinməsi,dünyanın vahidləşməsi məsələsi",İctimai Əlaqələr və dövlətlərarası münasibətlərin kim tərəfindən - Rusiya yoxsa ABŞ tərəfindən nizamlanması məsələsi,İctimai Əlaqələr sistemində insanlığın qlobal ümumiliyinin dərk olunması məsələsi,"İctimai Əlaqələr və dövlətlərarası münasibətlərin kim tərəfindən - beynəlxalq təşkilatlar, yoxsa ABŞ tərəfindən nizamlanması məsələsi",e
23,Mondializm nə demekdir?,Milli dövlətlərin vahidləşməsi,Müttəfiqlərin vahidləşməsi prosesi,Cemiyyetin vahidləşməsi prosesi,Dünyanın vahidləşməsi prosesi,Xalqların vahidləşməsi,d
24,Qloballaşma və yeni dünya nizaminin həyata keçirilməsində tətbiq olunan mühüm metodlardan biri ...?,Beynəlxalq konsepsiya,Ətraf mühitin mühafizəsi,Münaqişələrin məqsədyönlü həlli,İqtisadi əlaqələrin inkişafi,Dayanıqlı inkişaf,e
25,Tədqiqatçılar dünyanın geoiqtisadi xəritəsində qloballaşmanın hərəkətini neçə iqtisadi məkan çərçivəsində qruplaşdırırlar?,3,6,4,7,5,a
26,Cənubun böyük yeddilərinə aid olmayan ölkəsi hansıdır?,Çin,Cənubi Koreya,Meksika,Şimali Koreya,Hindistan,d
27,Regional inteqrasya prosesi dünyada ilk dəfə harada başlamışdır.?,Şimali Avropa,Yaponiya,Orta Avropa,Qərbi Avropada,Amerikada,d
