question_id,question_text,option_a,option_b,option_c,option_d,option_e,correct_answer_id
1,Hansı hesab aktiv hesab sayılır,Vergi öhdəlikləri,Uzunmüddətli bank kreditləri,Emissiya gəliri,Nizamnamə üçün ehtiyat,Qeyri­maddi aktivlər,e
2,Mənfəətin bölüşdürülməsinin hansı istiqaməti şirkətin xüsusi kapitalını azaldır,əldə olunmuş mənfəətin istehlak fonduna yönəldilməsi,düzgün variant yoxdur,sosial sferalar fondunun artırılması,dividendlərin ödənilməsi,ehtiyyat fondunun yaradılması,d
3,Mənfəət və zərər haqqında hesabatın təhlilində istifadə olunur,"üfiqi, şaquli və trend təhlilindən","proqnoz təhlilindən, funksional dəyər təhlilindən","statistik təhlildən, evristik üsullardan",iqtisadi­ riyazi üsullardan,"müqayisə üsulundan, balans metodundan",a
4,Mənfəət və zərər haqqında hesabatın şaquli təhlilinin məqsədi,göstəricilərin artım tempinin qiymətləndirilməsi,istehsalın səmərəliliyinin qiymətləndirilməsi,müəssisənin ödəmə qabiliyyətinin qiymətləndirilməsi,ötən dövrlə müqayisədə maliyyə nəticələrinin formalaşmasının strukturunun qiymətləndirilməsi,mənfəətə təsir edən amillərin qiymətləndirilməsi,d
5,Mənfəət və zərər haqqında hesabatın üfiqi təhlilinin məqsədi,müəssisənin ödəmə qabiliyyətinin qiymətləndirilməsi,istehsalın səmərəliliyinin qiymətləndirilməsi,göstəricilərin artım tempinin qiymətləndirilməsi,mənfəətə təsir edən amillərin qiymətləndirilməsi,ötən dövrlə müqayisədə göstəricilərin strukturunun qiymətləndirilməsi,e
6,Xalis mənfəət yönəldilir,mənfəət vergisinin ödənilməsinə,itkilərin örtülməsinə,inzibati xərclərin örtülməsinə,"istehsalın inkişafına, ehtiyat fonduna",kommersiya xərclərinin ötrülməsinə,d
7,Xalis dövriyyə kapitalının həcminin artması şəraitində likvidliyin itirilməsi risk,"əvvəl azalır, sonra artır",risk yoxdur,Artır,"əvvəl artır, sonra azalır",Azalır,e
8,Təşkilatın maliyyə vəziyyəti haqqında informasiya səciyyələndi­rir,təşkilatın likvidliyini və ödəmə qabiliyyətini,təşkilatın potensial resurslarından istifadənin səmərəliliyini,təşkilatın pul vəsaitlərinə olan tələbatını,təşkilatın kreditor borclarını,təşkilatın debitor borclarını,a
9,Təşkilatın ən likvid aktivlərinə aid edilir,pul vəsaitləri və qısamüddətli maliyyə qoyuluşlar,bitməmiş istehsalat,ödəmə müddəti 12 aya qədər olan debitor borcları,gələcək dövrlərin xərcləri,qeyri dövriyyə aktivləri,a
10,Cari fəaliyyətdən pul daxil olmaları öz əksini tapır,kreditlərin alınmasında,avansların alınmasında,məhsul satışından pul gəlirində,dividendlərin və faizlərin alınmasında,əsas vəsaitlərin və digər əmlakın satışından pul gəlirində,c
