question_id,question_text,option_a,option_b,option_c,option_d,option_e,correct_answer_id
1,İnformasiya nədir?,"Yalnız rəqəmlər və statistikalar","Kompüter yaddaşındakı bütün fayllar","Proqram təminatı","Şəbəkə avadanlığı","Məlumatın insan, sistem və ya təşkilat üçün faydalı məzmunu",e
2,İnformasiya təhlükəsizliyinin əsas məqsədi nədir?,"Sistemlərin sürətini artırmaq","Yeni proqram təminatı yazmaq","Şəbəkəni genişləndirmək","Faylları sıxmaq","Məlumatın məxfilik, bütövlük və mövcudluğunu təmin etmək",e
3,Təşkilat üçün məlumatın rolu nədir?,"Heç bir təhlükəsi yoxdur","Həmişə kommersiya sirrləri olur","Fiziki inventarın əvəzi deyil","Yalnız arxiv məqsədlidir","Qərarvermə və əməliyyatların əsasını təmin etmək",e
4,Məxfilik (Confidentiality) anlayışı nəyi ifadə edir?,"Səlahiyyətli istifadəçilərin məlumatı zamanında əldə edə bilməsi","Məlumatın açıq şəkildə paylaşılmasını","Məlumat yalnız səlahiyyətli şəxslər üçün əlçatan olmalıdır","Məlumatın həmişə şifrələnməsini","Məlumatın dəyişməzliyi və düzgünlüyü",c
5,Bütövlük (Integrity) nəyi təmin edir?,"Parolların möhkəmliyini","Yalnız şəbəkə trafiki ilə bağlıdır","Məlumatın dəyişməzliyi və düzgünlüyü","Səlahiyyətli istifadəçilərin məlumatı zamanında əldə edə bilməsi","Məlumatın həcmini azaltmağı",c
6,Mövcudluq (Availability) nə deməkdir?,"Məlumat yalnız səlahiyyətli şəxslər üçün əlçatan olmalıdır","Məlumatın avtomatik olaraq paylanması","Səlahiyyətli istifadəçilərin məlumatı zamanında əldə edə bilməsi","Məlumatın heç vaxt dəyişdirilməməsi","Məlumatın yalnız bir nüsxəsi olması",c
7,CIA triadasının üç elementi hansılardır?,"Capture, Inspect, Analyze","Confidentiality, Identification, Availability","Confidentiality, Integrity, Availability","Control, Inspection, Access","Crypto, Identity, Authorization",c
8,CIA triadasına nümunə olaraq hansı hal uyğundur?,"Confidentiality, Identification, Availability","Şəbəkə kabeli pozulub, ancaq məlumatlar açıqdır","Bank hesabınızın parolu yalnız sizdədir və sistem işləyir","Hər kəsin hesabınıza çıxışı var","Fayllar təsadüfən silinib və bərpa edilmişdir",c
9,Təhlükə (Threat) nədir?,"Proqram təminatının versiyası","Təhlükənin uğurlu olma ehtimalı və onun nəticələrinin birləşməsi","Məlumata və ya sistemə zərər verə biləcək potensial hadisə","Yalnız kompüter virusları","Sistem və ya məlumatdakı istifadə edilə bilən boşluğu",c
10,Zəiflik (Vulnerability) nəyi göstərir?,"Təhlükənin uğurlu olma ehtimalı və onun nəticələrinin birləşməsi","Fiziki kilidlərin gücsüzlüyü deyil","Sistem və ya məlumatdakı istifadə edilə bilən boşluğu","Məlumata və ya sistemə zərər verə biləcek potensial hadisə","Yalnız proqram səhvləridir",c
11,Risk nədir?,"Təhlükəsizlik siyasəti","Hər zaman şirkətin iflas etməsidir","Təhlükənin uğurlu olma ehtimalı və onun nəticələrinin birləşməsi","Məlumata və ya sistemə zərər verə biləcək potensial hadisə","Sistem və ya məlumatdakı istifadə edilə bilən boşluğu",c
12,Riskin ümumi hesablanması üçün hansı iki element əsasdır?,"İstifadəçi sayı və giriş tezliyi","Şəbəkə bant genişliyi və gecikmə","Təhlükə ehtimalı və təsirin ölçüsü","Məlumatın həcmi və fayl növü","Sistem sürəti və yaddaş ölçüsü",c
13,Risklərin idarə edilməsi nəyi əhatə edir?,"Baxım cədvəlinin təşkilini","Sistemlərin sürətinin artırılması","Risklərin müəyyənləşdirilməsi, qiymətləndirilməsi və azaldılması tədbirləri","Yalnız risklərin yoxlanması","Proqram təminatının yenilənməsi",c
14,Zərərli proqramlara hansılar daxildir?,"SSL sertifikatları","USB yaddaş cihazı deyil","Virus, Trojan, Ransomware","Antivirus və firewall","Şəbəkə kabeli və router",c
15,Virus ilə Trojan arasındakı əsas fərq nədir?,"Məlumatı şifrələyib qurtuluş üçün tələb edir","Heç biri zərər vermir","Virus özünü çoxaldır, Trojan gizli zərərli funksiyanı maskalayır","Trojan özü-özünü çoxaldır, virus maskalanır","Hər ikisi dərhal aşkarlanır",c
16,Ransomware nə edir?,"Məlumatı avtomatik yedəkləyir","Məlumatı şifrələyib qurtuluş üçün tələb edir","Şəbəkəni sürətləndirir","Parolları gücləndirir","Faylları sıxır və arxivləşdirir",b
17,Sosial mühəndislik hücumu nədir?,"Proqram təminatını yeniləmə","Məlumatı şifrələyib qurtuluş üçün tələb edir","İnsanları aldadaraq məlumat və ya giriş əldə etmək","Şəbəkə trafiğinin analizidir","",c
18,Kiber hücum vektoruna nümunə hansıdır?,"Yalnız fiziki oğurluq","Ofis təmizliyi","Phishing e-maili vasitəsilə parol oğurlamaq","HDMI kabeli ilə fayl göndərmək","Proqram tərtibatçısına zəng etmək",c
19,DoS hücumu nə məqsədlə edilir?,"Firewall-u aradan qaldırmaq","Yalnız server avadanlığını yeniləmək","Xidmətin əlçatanlığını pozmaq üçün resursları yükləmək","Phishing e-maili vasitəsilə parol oğurlamaq","İnsanları aldadaraq məlumat və ya giriş əldə etmək",c
20,Black-hat və white-hat fərqi nədir?,"Fərq yoxdur","Heç biri təhlükəlidir","Black-hat qanunsuz fəaliyyət göstərir, white-hat müdafiə və etik hack edir","Black-hat hardware, white-hat software üzərində işləyir","Hər ikisi qanunidir",c
21,Script kiddie kimdir?,"Şəbəkə cihazı istehsalçısı","Black-hat qanunsuz fəaliyyət göstərir, white-hat müdafiə və etik hack edir","Hazır alətlərdən istifadə edən, dərin texniki bilikləri olmayan hücumçu","Uşaqlar üçün proqramlama dərsi verən şəxs","Yalnız antivirus yazan mütəxəssis",c
22,Insider threat nəyi ifadə edir?,"Təşkilat daxilindən gələn təhlükə","Şifrə sıfırlama","Xarici hacker hücumu","Hardware nasazlığı","Yalnız sosial mühəndislik deyil",a
23,Təhlükəsizlik siyasəti nədir?,"İnformasiya təhlükəsizliyi idarəetmə sistemi üçün beynəlxalq standart","Rəqəmsal mühitdə etik davranış prinsipləri və qanunlara riayət","Təşkilatın təhlükəsizlik qaydalarını və prosedurlarını müəyyən edən sənəd","Yalnız parol siyasətidir","Proqram təminatı yeniləmə cədvəli",c
24,ISO/IEC 27001 nəyi təmin edir?,"Rəqəmsal mühitdə etik davranış prinsipləri və qanunlara riayət","Təşkilatın təhlükəsizlik qaydalarını və prosedurlarını müəyyən edən sənəd","İnformasiya təhlükəsizliyi idarəetmə sistemi üçün beynəlxalq standart","Antivirus proqramının adı","Şəbəkə kabel standartıdır",c
25,Kiberetika nə ilə bağlıdır?,"Təşkilatın təhlükəsizlik qaydalarını və prosedurlarını müəyyən edən sənəd","Məlumatın düzgün və qanuni istifadə edilməsini təmin etmək","Rəqəmsal mühitdə etik davranış prinsipləri və qanunlara riayət","İnformasiya təhlükəsizliyi idarəetmə sistemi üçün beynəlxalq standart","Proqram təminatı lisenziyası",c
26,Kibercinayətkarlığın bir nümunəsi hansıdır?,"Yalnız fiziki oğurluq","Routerin çoxaldılmaması","Phishing yolu ilə maliyyə məlumatlarının oğurlanması","Faylın təsadüfən silinməsi","Sistem yeniləməsinin gecikməsi",c
27,Hüquqi tənzimləmələr təşkilata nə verir?,"Heç bir faydası yoxdur","Yalnız vergi hesabatıdır","Ofis saatlarını müəyyən edir","Sistem sürətini artırır","Uyğunluq tələbləri və məsuliyyət çərçivəsi",e
28,Etik davranış prinsipi nəyi əhatə edir?,"Proqram təminatını oğurlamaq","Yalnız təşkilati siyasətləri ignore etmək","Məlumatın düzgün və qanuni istifadə edilməsini təmin etmək","Hər şeyi açıq paylaşmaq","Şəxsi məlumatları istənilən şəxsə vermək",c
29,Router və switch arasındakı əsas fərq nədir?,"Heç biri doğru deyil","Router MAC ünvanları ilə işləyir","Switch lokal trafik üçün, router müxtəlif şəbəkələri birləşdirir","Router yalnız kabellə işləyir, switch simsizdir","Switch IP ünvanları təyin edir",c
30,LAN və WAN fərqi nədir?,"Heç biri","LAN yalnız routerla işləyir","LAN lokal, WAN isə geniş coğrafi əhatəli şəbəkədir","LAN internetdir, WAN isə yalnız ofis daxili şəbəkədir","WAN yalnız simsiz şəbəkədir",c
31,Şəbəkə seqmentasiyasının məqsədi nədir?,"Sistem yeniləmələrini dayandırmaq","Firewall-u aradan qaldırmaq","Hücum səthini azaltmaq və məhdudiyyət tədbirləri tətbiq etmək","Şəbəkəni sürətləndirmək üçün bütün cihazları birləşdirmək","Yalnız kabel uzunluğunu azaltmaq",c
32,VLAN nə üçün istifadə olunur?,"Yalnız internet paylaşımı üçün","Parolları saxlamaq üçün","Şəbəkəni məntiqi bölmələrə ayırmaq üçün","Yalnız fiziki kabelləri əvəz etmək üçün","Firewall kimi işləmək üçün",c
33,Firewall nədir?,"Trafikin bir neçə resurs arasında bərabər paylanmasını və xidmətin mövcudluğunu artırır","Yalnız server avadanlığıdır","Şəbəkə trafikini müəyyən qaydalara görə nəzarət edən cihaz və ya proqram","Fiziki divar","Antivirusun başqa adı",c
34,Stateless və stateful firewall arasındakı fərq nədir?,"Heç biri","Stateful yalnız veb serverlər üçün nəzərdə tutulub","Stateful bağlantının vəziyyətini izləyir, stateless isə xam paketlərə baxır","Stateless daha zəifdir deyə bir şey yoxdur","Hər ikisi eyni şəkildə işləyir",c
35,Tətbiq səviyyəli firewall nə edir?,"Heç biri","Switch funksiyasını əvəz edir","Protokol və tətbiqi səviyyəsində filtrasiya edir","Yalnız IP ünvanlarına baxır","Fiziki giriş kontrolları həyata keçirir",c
36,ACL (Access Control List) nədir?,"Router modeli","Proqram təchizatı lisenziyası","Resurslara hansı ünvanların və ya istifadəçilərin girişinə icazə verildiyini və ya qadağan edildiyini müəyyən edən siyahı","Yalnız parol siyahısıdır","Fiziki şifrə lövhəsidir",c
37,NIDS və HIDS fərqi nədir?,"Heç biri","NIDS antivirus kimi işləyir","NIDS şəbəkə səviyyəsində, HIDS isə host səviyyəsində fəaliyyət göstərir","HIDS şəbəkəni analiz edir, NIDS isə faylları","Hər ikisi yalnız firewalldır",c
38,IPS sistemi necə işləyir?,"Proqram təminatını yeniləyir","Şəbəkəni söndürür","Aşkarlanan hücumu bloklayır","Yalnız jurnal yaradır, tədbir görmür","Həmişə istifadəçi məlumatlarını dəyişdirir",c
39,VPN nə üçündür?,"Firewall-u əvəz etmək üçün","Faylları sıxmaq üçün","Şəbəkə üzərindən təhlükəsiz və şifrələnmiş tunel yaratmaq üçün","Router sürətini artırmaq üçün","Şəbəkə kabellərini əvəz etmək üçün",c
