question_id,question_text,option_a,option_b,option_c,option_d,option_e,correct_answer_id
1,Televiziya reklamında tamaşaçının diqqətini ilk neçə saniyə ərzində cəlb etmək vacibdir?,20 saniyə,10 saniyə,15 saniyə,5 saniyə,30 saniyə,d
2,Telemağaza formatı nəyi nəzərdə tutur?,Teleroliklərin televiziya seriallarında yayımlanması və onlayın satışı,İnformasiyalı reklamların sponsorluqda göstərilməsi,Foto filmlərin slayd şəklində verilməsi,Radiokliplərin televiziya ilə uyğunlaşdırılması,Telefon nömrəsi vasitəsilə əmtəənin nümayişi və yalnız bu nömrə ilə sifariş,e
2,daha sonra televiziya və internetdə yayımlanıb. Bu prosesdə düzgün ardıcıllıq hansıdır?,Xüsusiləşmiş agentlik → Media firması,Kreativ agentlik → Media firması,Media firması → Kreativ agentlik,PR təşkilatı → Kreativ agentlik,Media firması → Xüsusiləşmiş agentlik,c
3,Televiziya reklamında xoş əhval yaradan rolik hansı məqsədi daşıyır?,Məhsulun texniki xüsusiyyətlərini izah etmək,Qrafik posterlər yaratmaq,Radiokliplə vizual uyğunluğu təmin etmək,Həyat tərzinin atributunu göstərmək,Pulsuz nümunələr paylamaq,d
4,Televiziyada süjet xəttinə görə reklam roliklərini hansı 3 növə bölürlər.,"Təsviri, Xoş əhval yaradan, televiziyaya himayədarlıq","teleroliklər, reklam serialları, foto filmlər","televiziyaya himayədarlıq, informasiyalı rek­lamlar və telemaqazinlər","televiziya elanları, telemətnlər, qaçan sətirlər,","Təsviri, Xoş əhval yaradan, Paradoksal qarşılaşdırmalar.",e
5,Birbaşa televiziya reklamlarının ən geniş yayılmış növlərinə aid deyil.,"teleroliklər, reklam serialları, foto filmlər yaxud slayd filmlər","teleroliklər, reklam serialları, telemətnlər, qaçan sətirlər","telemətnlər, qaçan sətirlər, reklam reportajları","televiziyaya himayədarlıq, informasiyalı rek­lamlar və telemaqazinlər","televiziya elanları, telemətnlər, qaçan sətirlər,",d
6,Reklam­kommersiya qəzetlərinin oxucu auditoriyası əsasən kimlərdən ibarətdir?,"Orta və iri bizneslə məşğul olan iş adamları, Siyasi rəhbərlər",Yalnız yerli sakinlər,"Məlumatlara maraqlı tələbələr, Siyasi rəhbərlər, problemlərini həll edən əhali",Xırda bizneslə məşğul olan iş adamları və problemlərini həll edən əhali,Siyasi rəhbərlər və Məlumatlara maraqlı tələbələr,d
7,Qəzetlərin yayılma yerinə və ərazi dairəsinə görə hansı kateqoriyaları mövcuddur?,İnternet və çap,Regional və siyasi qəzet,Yerli və mərkəzi mətbuat,Reklam və teleqraf,Kommersiya və məlumat qəzeti,c
8,Reklam verənlər mətbuatda kampaniya üçün nəşrləri seçərkən hansı xüsusiyyətlərə diqqət etməlidir?,"Reklam büdcəsi və satış həcmi, oxucu auditoriyası","Tiraj, çıxma dövrülüyü, coğrafi bölgüsü, oxucu auditoriyası","Şirkət maliyyə hesabatı, coğrafi bölgüsü, texniki xüsusiyyətləri","Məhsulun qiymət və texniki xüsusiyyətləri, Tiraj, çıxma dövrülüyü","Televiziya reytinqi və radio dinləyicisi, Reklam büdcəsi",b
9,"Hansı qəzetdə reklamın xüsusi çəkisi azdır, əsasən siyasi və ümumi xarakterli məlumatlar verilir?",Kommersiya qəzeti,Mərkəzi qəzet,Yerli qəzet,Məlumatlar qəzeti,Reklam­kommersiya qəzetləri,d
