question_id,question_text,option_a,option_b,option_c,option_d,option_e,correct_answer_id
1,Müəssisənin Optimal ölçüsü nədir?,mənfəətlə xərcin mütənasiblik təşkil etdiyi ölçüsüdür;,az xərclə daha az mənfəət əldə edilə bilən ölçüsüdür;,Az xərclə daha yüksək təsərrüfat nəticələrinə nail olmaqdır;,çox xərclə daha çox mənfəət əldə edilə bilən ölçüsüdür;,minimum xərclə risksiz fəaliyyət göstərə bilən ölçüsüdür.,c
2,Müəssisənin ölçüsü nədir?,istehsal prosesinin nəticəsi olmaqla müəyyən dövr ərzində müəssisənin istehsal xərclərinin həcmi ilə müəyyən olunur,"bu, istehsalın ölçüsüdür",istehsal prosesinin nəticəsi olmaqla müəyyən dövr ərzində müəssisənin istehsal xərclərinin həcmi ilə müəyyən olunur,"İstehsal prosesinin təşkili formalarının kəmiyyət xarakteristikasıdır və müəssisədə toplanmış maddi və əmək resurslarının məcmusu ilə, həmçinin istehsalın Ölçüsü ilə müəyyən olunur",istehsal prosesinin nəticəsi olmaqla müəyyən dövr ərzində müəssisənin əldə etdiyi mənfəətin həcmini əks etdirir,d
3,Sənayedə təmərküzləşmənin hansı forması daha səmərəli hesab edilir?,müəssisələrdə eyni tip avadanlıqların sayının artırılması,univerisal müəssisələrin ölçülərinin artırılması,kombinələşmiş istehsalın təmərküzləşməsi,İxtisaslaşmış istehsalın təmərküzləşməsi,avadanlıqların güc vahidlərinin artırılması yolu ilə təmərküzləşmə,d
4,İstehsal-texniki təmərküzləşmə necə baş verir?,müəssisədə qurulmuş avadanlıqlardan istismarda olanların sayının artırılması yolu ilə.,müəssisədə qurulmuş avadanlıqların əsaslı təmiri və modernləşdirilməsi yolu ilə;,"aqreqat və avadanlıqların texnoloji strukturunda daha güclülərin, məhsuldarlığı yüksək olanların sayının azaldılması yolu ilə;","aqreqat və avadanlıqların texnoloji strukturunda daha güclülərin, məhsuldarlığı yüksək olanların payının artması yolu ilə;",Qurulmuş avadanlıqların sayca çoxaldılması yolu ilə;,e
5,Nisbi təmərküzləşdirmə nədir?,sahəyə daxil olan müəssisələrin ölçülərinin artmasıdır,sahəyə daxil olan müəssisələrin əsas fondlarının dəyərinin artmasıdır,sahəyə daxil olan müəssisələrin ölçülərinin artmasıdır,Sahənin ümumi istehsalında İRİ müəssisələrin payının artmasıdır,sahəyə daxil olan müəssisələrin işçilərinin sayının artmasıdır,d
6,Bazar iqtisadiyyatı şəraitində istehsalın ictimai təşkilinin hansı forması daha çox Perspektivli sayılır?,istehsalın təmərküzləşməsi,istehsalın kooperativləşməsi,istehsalın kombinələşməsi,istehsalın universallaşması,İstehsalın İXtisaslaşması,e
7,Aşağıdakılardan hansı süni yolla alınan xammal və materiallara aid deyil?,dəri əvəzləyicisi,sintetik liflər,süni liflər,Üzvi liflər,sintetik kauçuk,d
8,Kənd təsərrüfatı xammalı hansı qruplara bölünür?,cavabların hamısı doğrudur,"su mənşəli xammal, birki mənşəli xammal və heyvan mənşəli xammal","yetişdirilən xammal, bəslənən xammal, dənizdən çıxarılan xammal","bitki mənşəli xammal, heyvan mənşəli xammal və üzvi mənşəli xammal",Bitki mənşəli xammal və Heyvan mənşəli xammal,e
9,Aşağıdakılardan hansı Kənd təsərrüfatı xammalının özünəməxsus xüsusiyyəti hesab olunmur?,onun istehsalı coğrafiyasını genişləndirmək mümkündür,təkrar-təkrar istehsalı mümkündür,tükənən deyil,eyni məkanda bərpası mümkündür,Bunlar tükənən- resurslardır,e
10,Aşağıdakılardan hansını Birinci sənaye çevrilişinin əsas sosial-iqtisadi nəticələri sırasına aid etmək olar?,korporasiyaların və səhm bazarlarının yaranması,həmkarlar ittifaqları hərəkatlarının formalaşması,inhisar birliklərinin və antiinhisar qanunvericiliyinin meydana çıxması,"beynəlxalq ticarətin genişlənməsi, rəqabətin qloballaşması və ölkələrarası ticarət birliklərinin yaranması","Urbanizasiya proseslərinin güclənməsi, habelə qadın və uşaq əməyinin kütləvi tətbiqi",e
11,Aşağıdakılardan hansı II sənaye çevrilişinin hərəkətverici qüvvələri sırasında deyil?,elektrik enerjisinin böyük məsafələrə ötürülməsi,Daş kömürün yandırılmasından alınan istilik enerjisinin mexaniki enerjiyə çevrilməsi,"kimyəvi materialların, plasmassın və kimyəvi liflərin tətbiqi",poladın bessemerləmə üsulunun kəşfi və tətbiqi,daxili yanma mühərrikinin ixtirası və tətbiqi,b
12,Türkiyə mineral resurs potensialı baxımından hansı ölkələr qrupuna aid edilir?,inkişaf etmiş dağ-mədən sənayesinə malik və aşkar edilmiş mineral resursların əksər hissəsi artıq istifadə edilmiş ölkələr qrupuna,çox geniş spektrdə mineral resurslara malik ölkələr qrupuna,"müxtəlif növ faydalı qazıntı növlərinin böyük potensial ehtiyatlarına malik, lakin resursları dünya təsərrüfat dövriyyəinə daha az intensivliklə daxil edilmiş ölkələr qrupuna",Mineral resurs potensialı çox zəif olan ölkələr qrupuna,mineral resurs potensialı əsasən bir neçə növ mineral xammala əsaslanan ölkələr qrupuna,d
13,Dünyada qara metal filizinin hasilatında lider ölkə hansı hesab olunur?,ABŞ,Yaponiya,Braziliya,Rusiya,Çin,c
14,Dünyada əlvan və qiymətli metallar hasilatında lider ölkə hansıdır?,Çin,Braziliya,ABŞ,Avstraliya,Rusiya,d
15,Azərbaycanda sənaye əhəmiyyətli ehtiyatlara malik dəmir filizi yataqları harada yerləşir?,Gədəbəy rayonunda,Ordubadda,Böyük Qafqazda,Daşkəsəndə,Abşeronda,d
16,Aşağıdakı əlva metal filizlərindən hansının ehtiyatları Azərbaycanda var?,qurğuşun-sink ehtiyatları,molibden filizi,aluminium filizi (alunit),Bunların hamısı,mis filizi,d
17,Azərbaycanda aşağıdakı nəcib metallardan hansının filiz ehtiyatları daha çoxdur?,bürünc,mis,gümüş,Qızıl,platin,d
18,Azərbaycan ərazisinin nə qədər hissəsində neft-qaz ehtiyatları mövcuddur?,4/5 hissəsində,hamısında,¾ hissəsində,2/3 hissəsində,yarısında (1/2 hissəsində),d
19,Aşağıdakı tədbirlərdən hansı sənayenin xammal bazasının genişləndirilməsi üçün deyil?,süni və sintetik materiallar istehsal edən sənaye sahələrinin inkişaf sürətinin artırılması,xammalın istehsala hazırlanması və emalı mərhələlərində ondan səmərəli istifadənin təmin olunması,"təkrar xammalın toplanması, tədarükü və emalının səmərəli təşkili",Hasil edilən resursların xammal kimi ixrac edilərək Valyuta əldə edilməsi,sənaye üçün xammal bazası rolu oyna-yan kənd təsərrüfatı istehsalının intensivləşdirilməsi,d
20,Faydalı qazıntıların Geoloji ehtiyatları necə qruplaşdırılır?,sənaye və kənd təsərrüfatı ehtiyatları,"geoloji, sənaye və kənd təsərrüfatı ehtiyatları",fiziki və kimyəvi ehtiyatlar,geoloji və sənaye ehtiyatları,Balans və Balansdankənar ehtiyatlar,e
21,Faydalı qazıntı ehtiyatının mənimsənilməsinin iqtisadi cəhət-dən məqsədəuyğunluğunu qiymətləndirən zaman aşağıdakı göstəricilərin hansından istifadə edilir?,əvəzedici məhsulların qiyməti,əmək haqqının səviyyəsi,Zənginləşdirilmiş (saflaşdırılmış) hər ton xammala əsaslı vəsait qoyuluşunun məbləği,iş günlərinin sayı,rəqiblərin sayı,c
22,Faydalı qazıntı ehtiyatının mənimsənilməsinin iqtisadi cəhətdən məqsədəuyğunluğunu qiymətləndirən zaman aşağıdakı göstəricilərin hansından istifadə edilir?,Faydalı qazıntının çıxarılma şəraiti - Açıq və ya Şaxta üsulu,əmək haqqının səviyyəsi,alternativ enerji mənbələrindən istifadə səviyyəsi,ərazidə məskunlaşmış əhalinin milli-etnik tərkibi,ərazidə məskunlaşmış əhalinin sosial strukturu,a
23,XIX əsrin sonu – XX əsrin əvvəllərində Bakı neft sənayesində hansı əcnəbi ölkənin kapitalı üstünlük təşkil edirdi?,ABŞ,Fransa,Hollandiya,İngiltərə,Almaniya,d
24,SSRİ dövründə (xüsusilə XX əsrin 60-cı illərinədək) Azərbaycan sənayenin inkişafı baxımından necə tanınırdı?,“Neft akademiyası” və kimya sənayesi mərkzi kimi,“Neft akademiyası” və yüngül sənaye mərkəzi kimi,“Neft akademiyası” və şərabçılıq sənayesi mərkəzi kimi,“Neft akademiyası” və ağır sənaye mərkəzi kimi,“Neft akademiyası” və Neft maşınqayırma mərkəzi kimi,e
25,SSRİ dövründə Azərbaycanda neft hasilatının ən yüksək həddi hansı ildə qeydə alınıb?,1949-cu ildə,1941-ci ildə,1970-ci ildə,1966-cı ildə,1975-ci ildə,d
26,SSRİ dövründə Azərbaycanda neft hasilatının ən yüksək həddi nə qədər olub?,"11,9 milyon ton","15,9 milyon ton","30,0 milyon ton","21,7 milyon ton","25,5 milyon ton",d
27,Aşağıdakılardan hansı müasir dövrdə dünya sənayesinin inkişafının müşayiət olunduğu qlobal çağırışlara aid deyil?,araşdırma və inkişafda təmərküzləşmə,İqtisadiyyatın və İxracın şaxələndirilməsi,məhsullardan istifadə siklinin sürətlənməsi və intensivləşməsi,istehsal zəncirlərinin mürəkkəbləşməsi,istehlakçı tələbinin coğrafi strukturunun dəyişməsi,b
28,Bunlardan hansı II sənaye çevrilişi dövründə yaranan və sürətlə inkişaf edən yeni sənaye sahəsi deyil?,məişət texnikasının istehsalı,Toxuculuq sənayesi,avtomobilqayırma səanyesi,"rabitə və əyləncə vasitələrinin (telefon, radio, kinematograf və s.) ixtirası və geniş tətbiqi",aviasiya səanyesinin yaranması,b
29,Bunlardan hansı II sənaye çevrilişi dövründə cəmiyyətin rifah səviyyəsinin yüksəlməsində rol oynamış amil deyil?,məişət texnikası,Əl əməyinin maşınlarla əvəz olunması,elektrik enerjisi,avtomobil və aviasiya,su kəmərləri və istilik sistemləri,b
30,Aşağıdakılardan hansı II sənaye çevrilişi dövründə sənayenin sürətli inkişafının iqtisadi hadisə və proseslərin tənzimlənməsinə gətirdiyi əhəmiyyətli yenilik hesab oluna bilər?,korporasiyaların və səhm bazarlarının yaranmasını,Bunların hamısını,inhisar birliklərinin və antiinhisar qanunvericiliyinin meydana çıxmasını,həmkarlar ittifaqları hərəkatlarının formalaşmasını,fond bazarlarının və maliyyə vasitəçiliyinin inkişafı,b
31,Dördüncü sənaye inqilabının əsas hərəkətverici qüvvəsinin nə olması gözlənilir?,nanotexnologiyalar,Kiber-fiziki sistemlər,innovasiyalar,alternativ enerji mənbələri,informasiya-kommunikasiya texnologiyaları,b
32,Aşağıdakılardan hansı sənaye üzrə iqtisadi fəaliyyət növlərinin NACE təsnifatı üzrə bölmələrin sırasına aiddir?,istehsal vasitələri istehsal edən sənaye,Mədənçıxarma sənayesi,sənayenin “A” bölməsi,sənayenin “B” bölməsi,istehlak vasitələri istehsal edən sənaye,b
33,Aşağıdakılardan hansı sənaye üzrə iqtisadi fəaliyyət növlərinin NACE təsnifatı üzrə bölmələrin sırasında deyil?,Mədənçıxarma sənayesi,İstehsal vasitələrinin istehsalı,Emal sənayesi,"Elektrik enerjisi, qaz, buxar və kondisiyalaşdırılmış hava ilə təchizat",Su təchizatı; çirkli suların və tullantıların təmizlənməsi,b
34,Aşağıdakılardan hansı əsasən istehsal vasitələri istehsal edən sənaye sahələrinə aid deyil?,maşınqayırma sənayesi,Toxuculuq sənayesi,metallurgiya sənayesi,dəzgahqayırma,gəmiqayırma,b
35,Aşağıdakılardan hansı əsasən istehlak şeyləri istehsal edən sənaye sahələrinə aid deyil?,qida sənayesi,Gəmiqayırma,geyim sənayesi,ayaqqabı sənayesi,içki sənayesi,b
36,Maşınqayırma sənayesinin aşağıdakı məhsullarından hansı istehlak xarakterli iqtisadi təyinat alır?,avadanlıqlar,Tədris-laboratoriya avadanlığı,qatar vaqonları,yük avtomobilləri,kənd təsərrüfatı texnikası,b
37,Aşağıdakılardan hansı mədənçıxarma (hasilat) sənayesinə aid deyil?,əlvan metal filizlərin hasilatı,Qara və Əlvan metallurgiya,qara metal filizlərin hasilatı,tikinti materialları hasilatı,neft və qazçıxarma,b
38,Aşağıdakılardan hansı kənd təsərrüfatı xammalını emal edən sənaye sahəsi deyil?,ət-süd sənayesi,Sintetik-parça sənayesi,pambıq-parça sənayesi,unüyütmə sənayesi,ipək-parça sənayesi,b
